R,G,B,CLASS
61,74,65,Agriculture_land
58,73,63,Agriculture_land
56,69,58,Agriculture_land
65,84,79,Agriculture_land
52,70,63,Agriculture_land
63,82,69,Agriculture_land
56,74,61,Agriculture_land
56,69,58,Agriculture_land
75,79,63,Agriculture_land
61,70,58,Agriculture_land
70,75,60,Agriculture_land
59,77,60,Agriculture_land
51,72,56,Agriculture_land
50,74,65,Agriculture_land
51,74,62,Agriculture_land
51,70,59,Agriculture_land
50,75,62,Agriculture_land
68,87,76,Agriculture_land
60,79,66,Agriculture_land
60,79,68,Agriculture_land
59,79,63,Agriculture_land
53,78,66,Agriculture_land
56,79,68,Agriculture_land
53,75,69,Agriculture_land
72,92,76,Agriculture_land
73,88,74,Agriculture_land
80,95,83,Agriculture_land
77,94,84,Agriculture_land
74,89,79,Agriculture_land
77,95,78,Agriculture_land
80,98,81,Agriculture_land
71,89,73,Agriculture_land
78,100,81,Agriculture_land
77,88,73,Agriculture_land
66,79,68,Agriculture_land
91,101,84,Agriculture_land
87,95,79,Agriculture_land
24,41,39,Agriculture_land
63,83,65,Agriculture_land
74,90,73,Agriculture_land
65,86,72,Agriculture_land
69,87,70,Agriculture_land
57,75,58,Agriculture_land
77,87,70,Agriculture_land
61,85,68,Agriculture_land
60,89,66,Agriculture_land
61,87,59,Agriculture_land
58,92,70,Agriculture_land
57,87,62,Agriculture_land
61,91,72,Agriculture_land
53,88,65,Agriculture_land
57,87,62,Agriculture_land
59,85,65,Agriculture_land
60,90,65,Agriculture_land
50,63,54,Agriculture_land
62,76,60,Agriculture_land
62,80,67,Agriculture_land
60,78,63,Agriculture_land
58,76,62,Agriculture_land
141,133,113,Barren_land
187,176,150,Barren_land
120,122,102,Barren_land
127,121,102,Barren_land
144,133,106,Barren_land
146,138,110,Barren_land
151,140,114,Barren_land
130,114,184,Barren_land
169,143,112,Barren_land
117,110,85,Barren_land
124,112,91,Barren_land
130,118,95,Barren_land
141,126,102,Barren_land
140,122,99,Barren_land
126,114,93,Barren_land
96,85,59,Barren_land
118,119,87,Barren_land
137,119,90,Barren_land
134,115,91,Barren_land
139,123,91,Barren_land
158,138,104,Barren_land
124,109,87,Barren_land
147,129,106,Barren_land
143,124,98,Barren_land
138,119,93,Barren_land
128,117,90,Barren_land
102,96,97,Barren_land
151,128,105,Barren_land
114,105,81,Barren_land
93,87,70,Barren_land
138,126,105,Barren_land
124,119,98,Barren_land
113,105,85,Barren_land
130,118,95,Barren_land
134,125,139,Barren_land
119,115,87,Barren_land
137,129,107,Barren_land
112,106,87,Barren_land
111,107,89,Barren_land
105,100,77,Barren_land
132,120,97,Barren_land
144,123,95,Barren_land
118,91,72,Barren_land
130,116,88,Barren_land
128,114,88,Barren_land
154,137,110,Barren_land
140,127,101,Barren_land
137,118,95,Barren_land
146,129,194,Barren_land
124,116,94,Barren_land
93,85,57,Barren_land
133,122,96,Barren_land
141,126,102,Barren_land
144,140,111,Barren_land
156,145,119,Barren_land
174,154,120,Barren_land
95,87,68,Barren_land
150,135,104,Barren_land
149,132,105,Barren_land
154,142,111,Barren_land
53,54,40,Houses
95,91,70,Houses
119,108,79,Houses
88,80,61,Houses
81,74,47,Houses
72,70,49,Houses
80,74,55,Houses
67,72,49,Houses
60,55,42,Houses
72,63,47,Houses
55,56,33,Houses
90,88,67,Houses
22,37,27,Houses
73,70,52,Houses
55,64,52,Houses
80,84,66,Houses
56,53,29,Houses
55,63,46,Houses
52,58,37,Houses
32,41,41,Houses
79,70,54,Houses
94,81,66,Houses
55,52,34,Houses
55,53,31,Houses
79,78,53,Houses
30,25,10,Houses
64,61,47,Houses
79,72,47,Houses
77,55,32,Houses
70,62,40,Houses
67,69,49,Houses
53,46,21,Houses
111,98,81,Houses
56,50,31,Houses
48,36,17,Houses
65,55,45,Houses
65,62,44,Houses
27,32,17,Houses
54,60,43,Houses
50,53,41,Houses
32,53,39,Houses
14,30,11,Houses
50,49,3,Houses
30,44,28,Houses
27,30,20,Houses
38,46,28,Houses
60,57,39,Houses
32,53,39,Houses
14,30,11,Houses
50,59,37,Houses
49,53,37,Houses
27,35,28,Houses
52,60,53,Houses
30,38,24,Houses
81,81,64,Houses
32,41,29,Houses
54,65,40,Houses
43,49,32,Houses
54,55,40,Houses
43,46,38,Houses
173,165,143,Roads
139,140,125,Roads
126,123,105,Roads
115,116,104,Roads
117,130,121,Roads
154,161,150,Roads
166,169,145,Roads
165,166,154,Roads
125,126,112,Roads
160,154,135,Roads
150,160,143,Roads
159,161,143,Roads
161,156,143,Roads
152,156,140,Roads
104,107,97,Roads
142,143,129,Roads
122,117,105,Roads
140,142,124,Roads
149,153,137,Roads
151,148,134,Roads
114,114,99,Roads
154,158,140,Roads
111,111,92,Roads
160,154,137,Roads
116,121,100,Roads
112,112,97,Roads
183,175,147,Roads
121,117,107,Roads
129,124,111,Roads
116,121,108,Roads
170,172,152,Roads
148,148,133,Roads
157,159,139,Roads
143,148,133,Roads
162,154,135,Roads
153,144,122,Roads
178,173,148,Roads
174,165,143,Roads
126,137,124,Roads
128,143,131,Roads
146,140,123,Roads
123,130,121,Roads
107,116,104,Roads
106,107,95,Roads
1271,122,109,Roads
114,113,100,Roads
155,144,133,Roads
110,109,96,Roads
111,111,96,Roads
123,122,111,Roads
118,115,99,Roads
125,117,98,Roads
100,102,82,Roads
104,109,96,Roads
123,118,95,Roads
92,103,80,Roads
102,103,89,Roads
97,98,86,Roads
111,104,92,Roads
102,99,83,Roads
4,22,17,Trees
31,46,48,Trees
51,69,64,Trees
33,52,39,Trees
69,81,60,Trees
18,32,24,Trees
20,43,40,Trees
42,63,51,Trees
29,54,47,Trees
27,46,43,Trees
14,32,27,Trees
37,57,47,Trees
15,28,28,Trees
21,33,30,Trees
58,73,62,Trees
14,43,38,Trees
12,44,40,Trees
36,54,47,Trees
31,53,49,Trees
36,58,54,Trees
58,70,65,Trees
14,47,30,Trees
41,47,30,Trees
36,49,38,Trees
40,50,42,Trees
22,38,21,Trees
18,23,12,Trees
45,54,40,Trees
23,51,35,Trees
36,49,47,Trees
43,67,52,Trees
44,63,50,Trees
29,53,38,Trees
34,59,44,Trees
49,70,58,Trees
53,63,53,Trees
74,82,65,Trees
48,67,54,Trees
46,66,56,Trees
78,86,72,Trees
44,58,52,Trees
53,70,60,Trees
37,55,40,Trees
43,64,52,Trees
62,73,50,Trees
20,39,28,Trees
30,47,40,Trees
66,76,68,Trees
37,60,48,Trees
44,59,47,Trees
38,62,45,Trees
32,55,43,Trees
63,76,85,Trees
71,81,64,Trees
60,73,62,Trees
75,85,70,Trees
69,84,69,Trees
41,52,39,Trees
60,74,58,Trees
75,86,73,Trees
